DBDF, Vendor ID, Device ID, Class ID, Base Address 0, Size 0, Base Address 1, Size 1, Base Address 2, Size 2, Vendor, Device, Class
0000:16:0a.7,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0b.0,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0b.1,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0b.2,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0b.3,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.0,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.1,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.2,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.3,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.4,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.5,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.6,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0e.7,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.0,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.1,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.2,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.3,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.4,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.5,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.6,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:0f.7,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:16:10.0,0x8086,0x208E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
